experiment,Precision@10,Recall@10,NDCG@10,MAP@10,HitRate@10,MRR@10,train_time_sec
Temporal Split,0.002,0.0063,0.0034,0.0015,0.016,0.0034,8.19
Random Split (Leakage),0.002,0.0093,0.0063,0.0038,0.02,0.0077,8.16
