experiment,Precision@10,Recall@10,NDCG@10,MAP@10,HitRate@10,MRR@10,train_time_sec
Equal (1:1:1),0.0004,0.0007,0.0009,0.0005,0.004,0.0023,10.8
Baseline (1:2:3),0.0004,0.0012,0.0005,0.0001,0.004,0.0004,8.92
Aggressive (1:3:5),0.0004,0.0012,0.0006,0.0002,0.004,0.0006,8.84
Purchase-Focused (0.5:2:5),0.0006,0.003,0.0016,0.0008,0.004,0.0022,9.4
